car,entered,601
car,entered,601
car,entered,601
car,entered,611
car,exited,612
car,entered,613
car,entered,614
car,entered,616
car,entered,616
car,exited,618
car,exited,622
car,entered,624
car,exited,626
car,exited,626
truck,entered,626
truck,exited,627
truck,entered,629
truck,entered,629
car,entered,630
car,exited,631
car,entered,634
car,entered,637
car,exited,641
car,exited,641
car,entered,642
car,exited,644
car,exited,645
car,exited,645
car,entered,646
car,exited,647
car,entered,648
car,exited,649
car,exited,650
bus,entered,651
car,entered,651
car,entered,652
bus,exited,652
car,entered,654
car,exited,655
car,entered,657
car,entered,658
car,exited,659
car,exited,661
car,exited,663
car,entered,666
car,entered,669
car,entered,669
car,exited,670
car,entered,671
truck,exited,672
car,entered,675
car,entered,675
truck,entered,675
car,exited,676
truck,exited,676
car,exited,677
truck,entered,677
car,entered,678
truck,entered,679
car,exited,680
car,entered,681
car,exited,682
car,exited,682
truck,exited,683
car,entered,684
car,entered,684
truck,entered,684
car,exited,685
car,exited,685
truck,exited,685
car,entered,686
truck,entered,686
car,entered,687
truck,exited,687
truck,entered,688
car,exited,689
truck,entered,689
car,entered,690
truck,exited,690
car,exited,692
car,exited,692
truck,entered,692
truck,exited,694
truck,exited,696
